code,origValue,total,lemma20180417_1243,lemma20180418_0913,lemma20180416_0825,word20180413_0920,word20180416_1241,word20180417_1554
Undefined,,867,150,150,152,140,135,140
Undefined,map,11,3,2,2,1,1,2
Undefined,module,7,1,2,1,1,1,1
Undefined,space,16,4,3,3,2,2,2
Undefined,proposition,19,4,3,2,4,3,3
Undefined,advance,7,2,3,2,0,0,0
Undefined,structure,6,1,1,1,1,1,1
Undefined,object,3,1,1,1,0,0,0
Undefined,complex,5,1,1,1,1,0,1
Undefined,ﬁnite,5,1,0,1,1,1,1
Undefined,action,5,1,1,1,0,1,1
Undefined,equivalence,2,1,1,0,0,0,0
Undefined,bundle,1,1,0,0,0,0,0
Undefined,line,6,1,1,1,1,1,1
Undefined,plane,8,1,2,2,2,1,0
Undefined,surface,1,1,0,0,0,0,0
Undefined,orbit,1,1,0,0,0,0,0
Undefined,curve,1,1,0,0,0,0,0
Undefined,transitive,6,1,1,1,1,1,1
Undefined,finite,9,2,1,1,3,1,1
Undefined,type,9,2,2,1,2,1,1
Undefined,arc,4,2,1,0,0,1,0
Undefined,regular,7,2,1,1,1,1,1
Undefined,embedding,3,1,1,1,0,0,0
Undefined,pg,4,1,0,0,1,1,1
Undefined,aut,3,1,0,0,1,0,1
Undefined,sum,4,1,1,1,0,1,0
Undefined,root,1,1,0,0,0,0,0
Undefined,xi,8,2,1,1,1,1,2
Undefined,weight,6,2,1,1,1,0,1
Undefined,representation,5,1,1,1,1,1,0
Undefined,basis,2,1,0,1,0,0,0
Undefined,product,1,1,0,0,0,0,0
Undefined,formulum,2,1,0,1,0,0,0
Undefined,generate,3,1,1,1,0,0,0
Undefined,sn,3,1,1,0,0,0,1
Undefined,define,9,2,1,3,1,1,1
Undefined,xn,6,1,1,1,1,1,1
Undefined,equal,3,1,1,1,0,0,0
Undefined,de,6,1,1,1,1,1,1
Undefined,la,6,1,1,1,1,1,1
Undefined,cl,6,1,1,1,1,1,1
Undefined,le,6,1,1,1,1,1,1
Undefined,est,6,1,1,1,1,1,1
Undefined,si,7,1,1,2,1,1,1
Undefined,fl,6,1,1,1,1,1,1
Undefined,en,6,1,1,1,1,1,1
Undefined,cent,2,1,0,1,0,0,0
Undefined,xl,5,1,1,1,1,1,0
Undefined,il,6,1,1,1,1,1,1
Undefined,des,6,1,1,1,1,1,1
Undefined,el,5,1,1,1,1,1,0
Undefined,definition,5,1,1,1,1,0,1
Undefined,les,6,1,1,1,1,1,1
Undefined,pi,5,1,1,1,0,1,1
Undefined,iv,3,1,1,1,0,0,0
Undefined,ll,4,1,0,1,1,1,0
Undefined,degree,11,2,2,2,1,3,1
Undefined,adjacent,10,2,1,1,1,3,2
Undefined,fig,9,2,1,2,1,1,2
Undefined,component,2,1,0,1,0,0,0
Undefined,free,4,1,1,1,0,0,1
Undefined,induce,4,1,2,1,0,0,0
Undefined,connect,3,1,1,1,0,0,0
Undefined,length,9,1,2,1,2,1,2
Undefined,neighbor,1,1,0,0,0,0,0
Undefined,odd,6,2,1,0,1,1,1
Undefined,face,6,1,1,1,1,1,1
Undefined,mod,6,1,1,1,1,1,1
Undefined,block,6,1,1,1,1,1,1
Undefined,code,6,1,1,1,1,1,1
Undefined,design,6,1,1,1,1,1,1
Undefined,square,3,1,1,0,1,0,0
Undefined,system,10,2,2,2,2,1,1
Undefined,row,5,1,1,1,0,1,1
Undefined,construction,5,1,1,1,1,0,1
Undefined,triple,4,1,1,1,1,0,0
Undefined,size,8,1,1,2,1,1,2
Undefined,pair,2,1,0,0,1,0,0
Undefined,construct,1,1,0,0,0,0,0
Undefined,table,1,1,0,0,0,0,0
Undefined,operator,11,2,2,2,1,2,2
Undefined,rn,7,1,1,1,1,1,2
Undefined,metric,4,1,1,1,1,0,0
Undefined,constant,9,2,2,2,1,1,1
Undefined,bound,7,1,1,2,1,1,1
Undefined,log,10,2,2,2,2,1,1
Undefined,inequality,4,1,1,2,0,0,0
Undefined,deﬁned,6,1,1,1,1,1,1
Undefined,positive,7,1,2,0,1,2,1
Undefined,real,3,1,0,1,0,1,0
Undefined,estimate,3,1,2,0,0,0,0
Undefined,vi,7,1,1,2,1,1,1
Undefined,kn,2,1,0,1,0,0,0
Undefined,bind,2,1,0,1,0,0,0
Undefined,path,5,1,1,0,1,1,1
Undefined,dominate,1,1,0,0,0,0,0
Undefined,distance,1,1,0,0,0,0,0
Undefined,contradiction,6,1,1,1,1,1,1
Undefined,independent,2,1,0,0,0,1,0
Undefined,di,2,1,0,1,0,0,0
Undefined,solution,6,1,1,1,1,1,1
Undefined,equation,6,1,1,1,1,1,1
Undefined,madison,7,1,1,1,1,1,2
Undefined,wisconsin,7,1,1,1,1,1,2
Undefined,download,3,1,1,1,0,0,0
Undefined,article,6,1,1,1,1,1,1
Undefined,november,6,1,1,1,1,1,1
Undefined,boundary,6,1,1,1,1,1,1
Undefined,december,5,1,1,1,0,1,1
Undefined,method,6,1,1,1,1,1,1
Undefined,applicable,5,1,1,1,1,1,0
Undefined,view,3,1,1,1,0,0,0
Undefined,time,7,2,1,1,1,1,1
Undefined,nonlinear,2,1,0,0,1,0,0
Undefined,algorithm,4,1,1,1,1,0,0
Undefined,interval,5,1,1,1,1,0,1
Undefined,word,5,1,1,1,1,1,0
