code,origValue,total,lemma20180417_1243,lemma20180418_0913,lemma20180416_0825,word20180413_0920,word20180416_1241,word20180417_1554
algebra,,116,17,18,14,28,17,22
algebra,algebra,9,2,2,1,2,1,1
algebra,group,9,3,1,1,2,1,1
algebra,ring,6,1,1,1,1,1,1
algebra,isomorphism,6,1,1,1,1,1,1
algebra,morphism,5,1,1,1,1,0,1
algebra,ideal,4,1,1,1,1,0,0
algebra,subgroup,5,1,1,1,1,0,1
algebra,automorphism,5,1,1,1,1,0,1
algebra,polynomial,7,1,2,1,1,1,1
algebra,matrix,8,2,1,1,2,1,1
algebra,vector,5,1,1,2,1,0,0
algebra,column,1,1,0,0,0,0,0
algebra,lattice,4,1,1,0,1,1,0
algebra,lie,4,0,1,1,1,1,0
algebra,irreducible,1,0,1,0,0,0,0
algebra,homomorphism,1,0,1,0,0,0,0
algebra,cyclic,3,0,1,1,0,0,1
algebra,matrices,2,0,0,0,1,0,1
algebra,polynomials,2,0,0,0,1,0,1
algebra,basis,1,0,0,0,1,0,0
algebra,functions,8,0,0,0,3,2,3
algebra,function,11,0,0,0,3,4,4
algebra,algebras,3,0,0,0,1,1,1
algebra,groups,5,0,0,0,1,2,2
algebra,isomorphic,1,0,0,0,1,0,0
