code,origValue,total,lemma20180417_1243,lemma20180418_0913,lemma20180416_0825,word20180413_0920,word20180416_1241,word20180417_1554
graph theory,,118,17,14,18,16,31,22
graph theory,edge,12,2,2,2,1,3,2
graph theory,cycle,10,2,1,2,1,2,2
graph theory,path,2,1,0,1,0,0,0
graph theory,color,5,1,1,1,0,1,1
graph theory,connected,9,1,1,2,1,2,2
graph theory,subgraph,6,1,1,1,1,1,1
graph theory,coloring,6,1,1,1,1,1,1
graph theory,hamiltonian,6,1,1,1,1,1,1
graph theory,tree,7,3,1,1,1,1,0
graph theory,digraph,3,1,0,1,0,1,0
graph theory,colour,2,1,0,1,0,0,0
graph theory,bipartite,5,1,1,1,1,1,0
graph theory,node,3,1,1,0,1,0,0
graph theory,planar,4,0,1,1,0,1,1
graph theory,component,1,0,1,0,0,0,0
graph theory,clique,2,0,1,0,0,1,0
graph theory,chromatic,2,0,0,1,0,0,1
graph theory,colouring,1,0,0,1,0,0,0
graph theory,edges,6,0,0,0,2,2,2
graph theory,vertex,6,0,0,0,1,3,2
graph theory,vertices,6,0,0,0,1,3,2
graph theory,graphs,6,0,0,0,1,3,2
graph theory,cycles,2,0,0,0,1,1,0
graph theory,trees,2,0,0,0,1,1,0
graph theory,colors,2,0,0,0,0,1,1
graph theory,colored,1,0,0,0,0,1,0
graph theory,degree,1,0,0,0,0,0,1
