paperID,mscCodes,mscGraphTheoryYesNo,graphTheory,Undefined,undefinedasCode2,analysisasCode2,graph theoryasCode2,algebraasCode2,UndefinedasCode2,number theoryasCode2,20180417_1243code1,20180417_1243code2,20180418_0913code1,20180418_0913code2,20180416_0825code1,20180416_0825code2
5a9efa7acf58f1b4aeeb2a3f,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5ab4bb59cf58f1726bfbdd93,,,0,9,0,0,9,0,0,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5aacbd8ecf58f171ac0eb7ac,,,6,2,0,0,2,0,6,0,graph theory,Undefined,graph theory,Undefined,Undefined,graph theory
5a258d41cf58f108b738b0f6,16N20 20K99 ,No,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5ab12b01cf58f16135699032,05A15 05A05 05C05 ,Yes,0,6,0,0,6,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab124e6cf58f16135697700,,,0,4,0,0,2,2,0,0,Undefined,graph theory,,,Undefined,algebra
5ab297d9cf58f125f8bf9224,,,0,9,0,0,1,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aa97868cf58f1be9e31d5c6,,,0,7,0,0,5,0,0,2,Undefined,graph theory,Undefined,graph theory,Undefined,number theory
5aac9ac0cf58f1648c45c06a,,,0,9,0,0,1,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aacd955cf58f17dacfcd78f,,,0,7,0,0,0,7,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aaadeeacf58f18434e07694,28A78 15A30 15A60 82B30 ,No,0,5,0,0,0,5,0,0,Undefined,algebra,,,Undefined,algebra
5aaf9f77cf58f1b36ed37dc9,,,0,8,0,0,0,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5a141563cf58f124fa44fb96,,,0,6,2,4,0,0,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5a256336cf58f1b5eacac5bb,,,0,6,0,0,0,6,0,0,Undefined,algebra,Undefined,algebra,,
5aabf11ecf58f12ed71ad63e,,,1,8,0,0,8,0,1,0,Undefined,graph theory,Undefined,graph theory,Undefined,graph theory
5ab43ce1cf58f1429c3799d4,,,0,6,0,0,6,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5ab4f3a4cf58f1878371d65d,,,0,5,0,0,1,4,0,0,Undefined,algebra,,,,
5aae2402cf58f12d65a6f66d,20N02 05B15 05C50 ,Yes,0,8,0,0,6,2,0,0,Undefined,algebra,Undefined,graph theory,Undefined,graph theory
5a1373a1cf58f1a5442d350e,,,0,8,2,5,0,1,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5919444fcf58f17d53939406,,,0,9,0,0,1,8,0,0,Undefined,algebra,Undefined,algebra,Undefined,algebra
5aa9470bcf58f17f2047bbd5,,,0,7,0,4,0,3,0,0,Undefined,analysis,,,Undefined,analysis
5ab3e855cf58f121f131c131,,,0,6,0,0,6,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5aaea27ecf58f156446373d1,05C25 ,Yes,0,7,0,0,7,0,0,0,Undefined,graph theory,,,Undefined,graph theory
5a1396e2cf58f1b2a54763d1,35K20 35B45 35B65 ,No,0,8,2,5,0,1,0,0,Undefined,analysis,Undefined,analysis,Undefined,undefined
5ab3da6fcf58f11bee8a9d98,,,0,5,0,0,2,3,0,0,Undefined,algebra,,,Undefined,graph theory
