Code 1
p(gt identification),952/2878,33.08
p(not gt iden),1926/2878,66.92
p(gt|gt iden),925/952,97.16
p(not gt|gt identification),27/952,2.836
p(gt|not gt iden),444/1926,23.05
p(not gt|not gt iden),1482/1926,76.95
p(gt),1369/2878,47.57
p(not gt),1509/2878,52.43
p(gt identification|gt),925/1369,67.57
p(not gt iden|gt),444/1369,32.43
p(not gt iden|not gt),1482/1509,98.21
p(gt iden|not gt),27/1509,1.789
Code 1 and 2
p(gt identification),1947/2878,67.65
p(not gt iden),931/2878,32.35
p(gt|gt iden),1362/1947,69.95
p(not gt|gt identification),585/1947,30.05
p(gt|not gt iden),7/931,0.7519
p(not gt|not gt iden),924/931,99.25
p(gt),1369/2878,47.57
p(not gt),1509/2878,52.43
p(gt identification|gt),1362/1369,99.49
p(not gt iden|gt),7/1369,0.5113
p(not gt iden|not gt),924/1509,61.23
p(gt iden|not gt),585/1509,38.77
