Code 1,words,words,lemmas,lemmas,allRuns,allRuns
p(gt identification),970/2889,33.58,952/2878,33.08,982/2981,32.94
p(not gt iden),1919/2889,66.42,1926/2878,66.92,1999/2981,67.06
p(gt|gt iden),942/970,97.11,925/952,97.16,954/982,97.15
p(not gt|gt identification),27/970,2.784,27/952,2.836,28/982,2.851
p(gt|not gt iden),420/1919,21.89,444/1926,23.05,459/1999,22.96
p(not gt|not gt iden),1499/1919,78.11,1482/1926,76.95,1540/1999,77.04
p(gt),1362/2889,47.14,1369/2878,47.57,1413/2981,47.4
p(not gt),1527/2889,52.86,1509/2878,52.43,1568/2981,52.6
p(gt identification|gt),942/1362,69.16,925/1369,67.57,954/1413,67.52
p(not gt iden|gt),420/1362,30.84,444/1369,32.43,459/1413,32.48
p(not gt iden|not gt),1499/1527,98.17,1482/1509,98.21,1540/1568,98.21
p(gt iden|not gt),28/1527,1.834,27/1509,1.789,28/1568,1.786
Code 1 and 2,,,,,,
p(gt identification),1951/2889,67.53,1947/2878,67.65,2008/2981,67.36
p(not gt iden),938/2889,32.47,931/2878,32.35,973/2981,32.64
p(gt|gt iden),1354/1951,69.4,1362/1947,69.95,1404/2008,69.92
p(not gt|gt identification),597/1951,30.6,585/1947,30.05,604/2008,30.08
p(gt|not gt iden),8/938,0.8529,7/931,0.7519,9/973,0.925
p(not gt|not gt iden),930/938,99.15,924/931,99.25,964/973,99.08
p(gt),1362/2889,47.14,1369/2878,47.57,1413/2981,47.4
p(not gt),1527/2889,52.86,1509/2878,52.43,1568/2981,52.6
p(gt identification|gt),1354/1362,99.41,1362/1369,99.49,1404/1413,99.36
p(not gt iden|gt),8/1362,0.5874,7/1369,0.5113,9/1413,0.6369
p(not gt iden|not gt),930/1527,60.9,924/1509,61.23,964/1568,61.48
p(gt iden|not gt),597/1527,39.1,585/1509,38.77,604/1568,38.52
