type,run,topics,topicNum,percent,pair,code
lemmas,20180417_1243,topics,0,0.016,map,
lemmas,20180417_1243,topics,0,0.016,algebra,algebra
lemmas,20180417_1243,topics,0,0.012,module,
lemmas,20180417_1243,topics,0,0.011,category,category theory
lemmas,20180417_1243,topics,0,0.008,group,algebra
lemmas,20180417_1243,topics,0,0.008,space,
lemmas,20180417_1243,topics,0,0.008,proposition,
lemmas,20180417_1243,topics,0,0.008,ring,algebra
lemmas,20180417_1243,topics,0,0.008,advance,
lemmas,20180417_1243,topics,0,0.007,isomorphism,algebra
lemmas,20180417_1243,topics,0,0.007,structure,
lemmas,20180417_1243,topics,0,0.007,morphism,algebra
lemmas,20180417_1243,topics,0,0.007,ideal,algebra
lemmas,20180417_1243,topics,0,0.006,object,
lemmas,20180417_1243,topics,0,0.006,complex,
lemmas,20180417_1243,topics,0,0.005,functor,category theory
lemmas,20180417_1243,topics,0,0.005,ﬁnite,
lemmas,20180417_1243,topics,0,0.005,action,
lemmas,20180417_1243,topics,0,0.004,equivalence,
lemmas,20180417_1243,topics,0,0.004,bundle,
lemmas,20180417_1243,topics,1,0.033,group,algebra
lemmas,20180417_1243,topics,1,0.022,line,
lemmas,20180417_1243,topics,1,0.012,plane,
lemmas,20180417_1243,topics,1,0.011,subgroup,algebra
lemmas,20180417_1243,topics,1,0.009,map,
lemmas,20180417_1243,topics,1,0.008,surface,
lemmas,20180417_1243,topics,1,0.008,orbit,
lemmas,20180417_1243,topics,1,0.008,automorphism,algebra
lemmas,20180417_1243,topics,1,0.007,curve,
lemmas,20180417_1243,topics,1,0.007,transitive,
lemmas,20180417_1243,topics,1,0.007,finite,
lemmas,20180417_1243,topics,1,0.007,space,
lemmas,20180417_1243,topics,1,0.006,type,
lemmas,20180417_1243,topics,1,0.006,arc,
lemmas,20180417_1243,topics,1,0.006,regular,
lemmas,20180417_1243,topics,1,0.006,proposition,
lemmas,20180417_1243,topics,1,0.006,embedding,
lemmas,20180417_1243,topics,1,0.006,pg,
lemmas,20180417_1243,topics,1,0.005,convex,topology
lemmas,20180417_1243,topics,1,0.005,aut,
lemmas,20180417_1243,topics,2,0.016,polynomial,algebra
lemmas,20180417_1243,topics,2,0.013,matrix,algebra
lemmas,20180417_1243,topics,2,0.008,vector,algebra
lemmas,20180417_1243,topics,2,0.007,sum,
lemmas,20180417_1243,topics,2,0.007,partition,number theory
lemmas,20180417_1243,topics,2,0.006,proposition,
lemmas,20180417_1243,topics,2,0.006,root,
lemmas,20180417_1243,topics,2,0.006,xi,
lemmas,20180417_1243,topics,2,0.006,weight,
lemmas,20180417_1243,topics,2,0.006,representation,
lemmas,20180417_1243,topics,2,0.005,basis,
lemmas,20180417_1243,topics,2,0.005,product,
lemmas,20180417_1243,topics,2,0.005,formulum,
lemmas,20180417_1243,topics,2,0.005,generate,
lemmas,20180417_1243,topics,2,0.005,sn,
lemmas,20180417_1243,topics,2,0.005,define,
lemmas,20180417_1243,topics,2,0.005,sequence,number theory
lemmas,20180417_1243,topics,2,0.005,xn,
lemmas,20180417_1243,topics,2,0.005,algebra,algebra
lemmas,20180417_1243,topics,2,0.005,equal,
lemmas,20180417_1243,topics,3,0.031,de,
lemmas,20180417_1243,topics,3,0.018,define,
lemmas,20180417_1243,topics,3,0.013,la,
lemmas,20180417_1243,topics,3,0.01,cl,
lemmas,20180417_1243,topics,3,0.009,le,
lemmas,20180417_1243,topics,3,0.008,finite,
lemmas,20180417_1243,topics,3,0.008,est,
lemmas,20180417_1243,topics,3,0.008,si,
lemmas,20180417_1243,topics,3,0.008,fl,
lemmas,20180417_1243,topics,3,0.008,en,
lemmas,20180417_1243,topics,3,0.008,cent,
lemmas,20180417_1243,topics,3,0.007,xl,
lemmas,20180417_1243,topics,3,0.006,il,
lemmas,20180417_1243,topics,3,0.006,des,
lemmas,20180417_1243,topics,3,0.006,el,
lemmas,20180417_1243,topics,3,0.006,definition,
lemmas,20180417_1243,topics,3,0.006,les,
lemmas,20180417_1243,topics,3,0.005,pi,
lemmas,20180417_1243,topics,3,0.005,iv,
lemmas,20180417_1243,topics,3,0.005,ll,
lemmas,20180417_1243,topics,4,0.059,edge,graph theory
lemmas,20180417_1243,topics,4,0.026,cycle,graph theory
lemmas,20180417_1243,topics,4,0.025,path,graph theory
lemmas,20180417_1243,topics,4,0.018,color,graph theory
lemmas,20180417_1243,topics,4,0.016,connected,graph theory
lemmas,20180417_1243,topics,4,0.014,subgraph,graph theory
lemmas,20180417_1243,topics,4,0.013,degree,
lemmas,20180417_1243,topics,4,0.011,adjacent,
lemmas,20180417_1243,topics,4,0.009,fig,
lemmas,20180417_1243,topics,4,0.009,component,
lemmas,20180417_1243,topics,4,0.009,coloring,graph theory
lemmas,20180417_1243,topics,4,0.008,free,
lemmas,20180417_1243,topics,4,0.007,induce,
